geo_level,geo_id,metric_id,period,value,source_id
state,04,pop_total,2019-2023,421177.0,acs5
state,04,pop_65_plus,2019-2023,219736.0,acs5
state,04,pct_65_plus,2019-2023,,acs5
state,04,pop_75_plus,2019-2023,165288.0,acs5
state,04,median_age,2019-2023,42.32,acs5
state,04,pop_65_plus_growth_5yr,2020-2024,26.021,popest
state,04,pop_growth_5yr,2020-2024,2.799,popest
state,04,pop_density,2023 gazetteer / 2020 relationships / 2023 boundaries,2747.837,census_geo
state,04,pct_65_living_alone,2019-2023,23.785,acs5
state,04,medicare_benes_total,2013-2026 (monthly; annual rows MONTH=Year),37780.0,cms_enrollment
state,04,medicare_benes_aged,2013-2026 (monthly; annual rows MONTH=Year),125293.0,cms_enrollment
state,04,original_medicare_benes,2013-2026 (monthly; annual rows MONTH=Year),93098.0,cms_enrollment
state,04,medicare_ma_benes,2013-2026 (monthly; annual rows MONTH=Year),293471.0,cms_enrollment
state,04,ma_penetration_pct,2013-2026 (monthly; annual rows MONTH=Year),49.742,cms_enrollment
state,04,dual_eligible_pct,2013-2026 (monthly; annual rows MONTH=Year),11.552,cms_enrollment
state,04,medicare_benes_growth_5yr,2013-2026 (monthly; annual rows MONTH=Year),13.872,cms_enrollment
state,04,avg_hcc_risk_score,2014-2024,0.982,cms_geo_variation
state,04,medicare_spend_per_capita_std,2014-2024,,cms_geo_variation
state,04,ed_visits_per_1000,2014-2024,818.647,cms_geo_variation
state,04,readmission_rate,2014-2024,17.983,cms_geo_variation
state,04,ip_stays_per_1000,2014-2024,213.052,cms_geo_variation
state,04,pct_65_plus_disability,2019-2023,30.799,acs5
state,04,median_household_income,2019-2023,98805.168,acs5
state,04,per_capita_income,2019-2023,33307.922,acs5
state,04,poverty_rate_65_plus,2019-2023,11.92,acs5
state,04,unemployment_rate,2019-2023,6.853,acs5
state,04,median_home_value,2019-2023,274243.147,acs5
state,04,median_gross_rent,2019-2023,1404.277,acs5
state,04,pct_bachelors_plus,2019-2023,51.429,acs5
state,04,pct_hispanic,2019-2023,24.708,acs5
state,04,pct_black,2019-2023,10.373,acs5
state,12,pop_total,2019-2023,3666432.0,acs5
state,12,pop_65_plus,2019-2023,130873.0,acs5
state,12,pct_65_plus,2019-2023,16.031,acs5
state,12,pop_75_plus,2019-2023,155202.0,acs5
state,12,median_age,2019-2023,38.421,acs5
state,12,pop_65_plus_growth_5yr,2020-2024,24.75,popest
state,12,pop_growth_5yr,2020-2024,3.524,popest
state,12,pop_density,2023 gazetteer / 2020 relationships / 2023 boundaries,1960.703,census_geo
state,12,pct_65_living_alone,2019-2023,29.521,acs5
state,12,medicare_benes_total,2013-2026 (monthly; annual rows MONTH=Year),40987.0,cms_enrollment
